Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,2194,2005,2022,2006,1948,1916,1892,2017,2328,2032
Atlántico,901,866,793,739,727,723,708,702,1047,938
Bogotá D.C.,2038,1865,1805,1973,2062,2287,2158,2247,3346,3030
Bolívar,1029,994,969,982,1018,951,941,1009,1171,1088
Boyacá,542,581,564,547,518,467,438,458,513,495
Caldas,422,388,365,359,358,330,294,285,307,284
Caquetá,236,236,223,245,223,222,241,245,224,231
Cauca,920,881,862,842,831,804,832,850,800,846
Cesar,513,506,480,500,505,493,521,557,636,618
Chocó,359,338,358,353,339,337,353,356,340,337
Córdoba,1083,959,912,947,934,937,942,984,1093,1094
Cundinamarca,690,567,529,528,549,498,515,583,785,673
Huila,596,611,602,616,624,522,549,620,681,542
La Guajira,542,537,530,548,553,563,595,659,726,757
Magdalena,714,693,681,652,711,704,671,702,793,819
Meta,338,324,296,290,318,326,332,339,422,363
Nariño,1009,971,921,876,955,874,912,934,924,892
Norte de Santander,584,580,599,622,632,622,659,728,796,749
Quindío,262,244,226,229,221,202,184,191,223,209
Risaralda,359,370,330,320,295,269,277,280,350,293
Santander,621,581,570,554,608,617,646,653,818,764
Sucre,472,439,417,430,448,413,405,445,460,493
Tolima,681,590,565,570,560,533,555,560,652,619
Valle del Cauca,1425,1450,1254,1225,1282,1224,1175,1153,1671,1456
