Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,570,477,556,511,510,399,412,476,708,504
Atlántico,137,128,115,91,100,77,74,91,290,186
Bogotá D.C.,279,232,264,281,319,335,330,345,1103,799
Bolívar,301,287,248,201,266,189,171,232,366,307
Boyacá,155,188,193,182,157,123,78,94,191,167
Caldas,109,89,77,73,77,69,62,54,72,50
Caquetá,54,48,50,50,48,40,49,58,69,47
Cauca,493,407,381,363,350,319,349,380,340,390
Cesar,166,133,135,126,142,143,142,208,271,231
Chocó,210,187,211,202,194,182,191,202,189,177
Córdoba,478,330,234,246,221,220,220,275,391,412
Cundinamarca,170,141,118,119,164,93,134,148,304,249
Huila,198,211,181,234,257,146,122,208,271,174
La Guajira,250,240,246,246,265,278,283,357,435,454
Magdalena,243,212,201,187,269,238,217,241,322,327
Meta,99,82,74,68,89,90,88,88,163,100
Nariño,325,273,232,211,338,268,248,271,293,266
Norte de Santander,157,149,157,174,186,162,153,225,313,239
Quindío,78,58,51,61,53,40,33,40,71,53
Risaralda,71,87,60,44,41,26,35,39,97,47
Santander,114,96,118,116,117,96,101,116,277,214
Sucre,111,89,81,89,118,90,70,97,110,131
Tolima,233,165,142,141,153,117,140,151,227,194
Valle del Cauca,376,348,264,264,320,284,273,323,687,440
