Depto,Anio 2002,Anio 2003,Anio 2004,Anio 2005,Anio 2008,Anio 2009,Anio 2010,Anio 2011,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,"0,59","0,59","0,57","0,56","0,58","0,56","0,56","0,54","0,53","0,53","0,56","0,52","0,51","0,50","0,50","0,51","0,53","0,51"
Atlántico,"0,53","0,53","0,52","0,51","0,50","0,50","0,50","0,47","0,46","0,45","0,45","0,44","0,43","0,44","0,44","0,45","0,48","0,46"
Bogotá D.C.,"0,57","0,55","0,56","0,56","0,53","0,53","0,53","0,52","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,51","0,56","0,53"
Bolívar,"0,53","0,48","0,48","0,48","0,54","0,53","0,51","0,50","0,51","0,50","0,51","0,49","0,48","0,46","0,47","0,48","0,50","0,48"
Boyacá,"0,60","0,60","0,56","0,56","0,58","0,54","0,54","0,54","0,53","0,53","0,53","0,54","0,53","0,51","0,48","0,50","0,52","0,49"
Caldas,"0,51","0,52","0,52","0,51","0,55","0,54","0,54","0,53","0,52","0,52","0,52","0,51","0,51","0,50","0,49","0,47","0,47","0,47"
Caquetá,"0,53","0,51","0,49","0,53","0,49","0,49","0,45","0,46","0,48","0,47","0,47","0,48","0,47","0,46","0,48","0,48","0,47","0,45"
Cauca,"0,52","0,47","0,53","0,50","0,60","0,59","0,57","0,55","0,57","0,55","0,54","0,52","0,51","0,50","0,52","0,54","0,52","0,51"
Cesar,"0,46","0,44","0,48","0,45","0,55","0,55","0,52","0,51","0,52","0,49","0,47","0,48","0,47","0,49","0,49","0,51","0,52","0,49"
Chocó,"0,57","0,56","0,56","0,58","0,62","0,57","0,57","0,57","0,62","0,60","0,60","0,60","0,57","0,57","0,58","0,60","0,56","0,54"
Córdoba,"0,55","0,55","0,53","0,54","0,52","0,56","0,55","0,56","0,54","0,53","0,50","0,47","0,46","0,47","0,48","0,49","0,47","0,48"
Cundinamarca,"0,48","0,46","0,48","0,49","0,46","0,46","0,46","0,46","0,46","0,47","0,46","0,44","0,44","0,43","0,42","0,44","0,49","0,46"
Huila,"0,54","0,53","0,51","0,51","0,58","0,58","0,57","0,56","0,56","0,55","0,55","0,54","0,53","0,49","0,51","0,51","0,54","0,47"
La Guajira,"0,48","0,50","0,49","0,47","0,59","0,57","0,61","0,57","0,56","0,56","0,55","0,55","0,54","0,55","0,55","0,58","0,57","0,55"
Magdalena,"0,50","0,45","0,46","0,47","0,56","0,53","0,54","0,53","0,51","0,50","0,49","0,48","0,49","0,49","0,49","0,50","0,51","0,49"
Meta,"0,50","0,50","0,47","0,49","0,50","0,49","0,50","0,49","0,51","0,47","0,47","0,47","0,46","0,47","0,49","0,49","0,49","0,46"
Nariño,"0,57","0,53","0,51","0,51","0,52","0,51","0,50","0,50","0,50","0,52","0,50","0,50","0,52","0,51","0,51","0,52","0,51","0,50"
Norte de Santander,"0,49","0,51","0,52","0,49","0,50","0,52","0,49","0,50","0,49","0,48","0,49","0,47","0,47","0,47","0,47","0,49","0,52","0,47"
Quindío,"0,50","0,50","0,54","0,52","0,56","0,55","0,54","0,53","0,53","0,50","0,50","0,49","0,47","0,45","0,45","0,47","0,49","0,45"
Risaralda,"0,51","0,50","0,50","0,50","0,51","0,48","0,48","0,48","0,49","0,50","0,50","0,46","0,44","0,43","0,44","0,44","0,46","0,42"
Santander,"0,53","0,53","0,50","0,53","0,49","0,51","0,51","0,50","0,49","0,49","0,50","0,47","0,45","0,45","0,49","0,48","0,51","0,52"
Sucre,"0,50","0,49","0,49","0,48","0,54","0,52","0,54","0,51","0,48","0,47","0,48","0,47","0,47","0,46","0,46","0,48","0,46","0,47"
Tolima,"0,52","0,52","0,52","0,49","0,52","0,54","0,55","0,53","0,52","0,51","0,51","0,51","0,49","0,49","0,48","0,48","0,49","0,50"
Valle del Cauca,"0,52","0,52","0,52","0,54","0,52","0,52","0,52","0,51","0,52","0,50","0,49","0,48","0,48","0,47","0,47","0,47","0,51","0,48"
