Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,"9,2","7,6","8,7","7,9","7,8","6,0","6,2","7,0","10,3","7,3"
Atlántico,"5,8","5,3","4,7","3,7","4,0","3,1","2,9","3,5","11,2","7,1"
Bogotá D.C.,"3,7","3,0","3,4","3,6","4,0","4,2","4,0","4,2","13,2","9,4"
Bolívar,"14,9","14,0","12,0","9,6","12,5","8,8","7,9","10,5","16,5","13,7"
Boyacá,"12,2","14,7","15,1","14,3","12,3","9,6","6,1","7,3","14,9","12,9"
Caldas,"11,1","9,0","7,8","7,4","7,8","6,9","6,2","5,4","7,2","5,0"
Caquetá,"11,7","10,3","10,5","10,4","10,0","8,2","10,0","11,5","13,6","9,2"
Cauca,"36,7","30,1","27,9","26,3","25,2","22,7","24,6","26,6","23,6","26,9"
Cesar,"16,7","13,2","13,3","12,2","13,6","13,6","13,4","19,3","24,8","20,9"
Chocó,"43,4","38,1","42,5","40,4","38,5","35,7","37,1","38,8","35,9","33,3"
Córdoba,"29,3","19,9","13,9","14,4","12,7","12,5","12,3","15,2","21,2","22,1"
Cundinamarca,"6,6","5,4","4,5","4,4","6,0","3,3","4,7","5,2","10,4","8,5"
Huila,"17,8","18,8","15,9","20,2","22,0","12,3","10,2","17,2","22,1","14,0"
La Guajira,"28,6","26,6","26,4","25,7","26,9","27,5","27,2","33,5","39,7","40,4"
Magdalena,"19,8","17,2","16,1","14,8","21,1","18,5","16,7","18,3","24,3","24,4"
Meta,"10,9","8,9","7,9","7,1","9,1","9,0","8,7","8,5","15,4","9,3"
Nariño,"19,3","16,0","13,5","12,1","19,1","15,0","13,7","14,8","15,8","14,2"
Norte de Santander,"11,9","11,2","11,7","12,8","13,6","11,8","11,0","16,1","22,2","16,8"
Quindío,"14,1","10,4","9,0","10,8","9,3","7,0","5,7","6,9","12,1","9,1"
Risaralda,"7,6","9,3","6,3","4,7","4,3","2,7","3,6","4,0","9,9","4,8"
Santander,"5,6","4,7","5,7","5,6","5,6","4,6","4,8","5,5","13,1","10,1"
Sucre,"13,4","10,6","9,6","10,4","13,7","10,3","7,9","11,0","12,3","14,5"
Tolima,"16,7","11,8","10,1","10,0","10,8","8,3","9,8","10,6","15,9","13,5"
Valle del Cauca,"8,4","7,7","5,8","5,7","6,9","6,0","5,7","6,7","14,2","9,0"
