Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,555892,614483,680708,674887,701607,745231,780180,800047,765204,878544
Atlántico,443033,456165,489005,542223,583239,626199,650853,695303,582917,657678
Bogotá D.C.,857932,954981,999195,989329,1052592,1034681,1117113,1188231,1002293,1095189
Bolívar,359699,382983,421284,436524,444962,462500,490712,499603,444081,504858
Boyacá,408661,391566,411927,460865,506044,545377,551226,559026,524784,572986
Caldas,432061,466351,493262,528098,567695,597900,648068,649640,627473,710126
Caquetá,311310,314760,344831,361228,411837,420960,422146,432672,428244,470725
Cauca,234521,249505,271229,290978,313872,336687,341792,353623,355833,375162
Cesar,347464,347246,363149,389402,408188,441564,435152,432298,391087,422289
Chocó,227493,253539,233008,263653,293004,306827,301793,330184,327545,362999
Córdoba,249811,294619,316573,302914,342657,354526,376319,384996,326910,370315
Cundinamarca,482691,552303,586017,590183,627817,662751,660158,665693,661178,716341
Huila,371721,359013,391706,388510,408498,450446,493660,447339,435247,500816
La Guajira,268561,289467,302779,329637,351400,364225,365649,352825,300775,314853
Magdalena,303722,308861,327993,358632,355476,380404,408632,408234,376721,407924
Meta,479391,483487,533929,569640,577676,598902,639933,649530,549362,646743
Nariño,266031,305569,322452,359677,374468,414983,423344,444517,421973,473293
Norte de Santander,383637,381406,393890,395542,417301,436408,439610,433279,414995,454959
Quindío,437803,451224,497848,507133,541712,586653,620237,653921,617047,658331
Risaralda,471391,484894,553195,553345,592378,639596,664110,678613,604993,702870
Santander,578058,606594,665371,655039,650360,665169,715601,721959,654318,787938
Sucre,292304,310521,339869,351651,367584,397735,421309,419599,395232,423590
Tolima,376353,422034,463252,485349,504385,528663,520849,542503,470551,565691
Valle del Cauca,543277,537511,582956,632636,677104,704955,737339,782656,690067,775446
