Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,253145,257863,267186,282854,306091,317482,326694,338727,345087,366566
Atlántico,235887,238709,247870,265654,287962,295683,304069,315284,325212,345613
Bogotá D.C.,338794,346502,357458,377866,407889,423188,434629,448749,455036,477221
Bolívar,230057,233613,242669,259004,279760,285810,293846,303926,306755,325856
Boyacá,211756,215875,224378,237881,257947,264689,271226,280440,281771,303904
Caldas,229224,233144,241742,257211,279852,289972,297088,307095,311892,333810
Caquetá,213785,216979,225151,239502,260533,267696,273152,282522,283245,308037
Cauca,202991,206109,213819,226787,245409,252100,257520,265940,263994,290020
Cesar,220713,223889,232430,247500,266596,272299,277762,287074,289879,311719
Chocó,210645,214209,221734,234359,253972,260163,265489,273028,271886,295004
Córdoba,198672,201948,209293,222749,241699,246896,252404,261519,260838,282381
Cundinamarca,204713,208332,216015,229165,247841,254099,260034,267549,269745,290631
Huila,226287,229907,238384,252663,272062,278136,283410,291104,289514,314092
La Guajira,194059,197935,204854,216930,235196,239395,244066,252893,252842,273479
Magdalena,218833,222400,231032,245790,264812,271287,277335,287131,293037,315798
Meta,242736,248394,257276,272331,292594,297087,303320,312287,312942,336625
Nariño,207379,210410,218759,232283,251862,258640,265133,274115,271970,296809
Norte de Santander,225486,226170,232386,246102,267804,272050,278840,289918,295601,318651
Quindío,251052,253950,262877,278905,304579,314253,321679,333205,340201,364739
Risaralda,255635,260545,270014,286209,309167,320957,329418,341357,340382,372929
Santander,263981,270066,281528,298824,322890,333457,342774,354135,357061,382848
Sucre,204932,208137,215601,229890,250399,255833,262269,271739,274849,293907
Tolima,228845,232982,242459,257070,278806,285514,292071,301578,302611,325669
Valle del Cauca,235150,239200,248181,262888,284915,293000,300453,311748,318944,339268
