Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,99146,98583,102905,110750,124775,125307,125594,131801,139519,153700
Atlántico,104943,104075,109109,119472,133363,133105,134541,140427,148190,164017
Bogotá D.C.,128834,130332,134722,144935,160484,162120,163173,170382,178604,197925
Bolívar,99908,98765,103251,112883,125205,123522,125026,130909,137713,151627
Boyacá,95173,94661,98989,107293,121956,121278,121489,126979,134577,148732
Caldas,93727,92776,96736,105135,119728,119398,119438,124530,131824,147419
Caquetá,91373,90599,94742,103368,117056,116888,117134,122697,130368,146648
Cauca,92248,91377,95942,104609,117859,117466,117623,123163,130575,145897
Cesar,95623,94540,98630,107859,120680,118948,119375,125372,132231,147676
Chocó,94504,93863,97954,106027,120880,119913,119865,125036,132712,146034
Córdoba,91526,90774,94880,103524,116897,115321,115601,121433,128598,141323
Cundinamarca,92842,92212,96494,104907,118679,117947,118326,123742,131624,146218
Huila,95352,94632,99114,107682,121562,120420,120555,126321,133966,149513
La Guajira,89993,90024,94035,102277,115777,113968,114145,119851,127121,139856
Magdalena,100683,99971,104417,113571,126789,126359,127093,133624,140617,157143
Meta,106663,106531,111255,120522,134729,133171,133954,140016,147484,166525
Nariño,92440,91577,96171,105061,118907,118126,118357,123922,131298,145121
Norte de Santander,96256,93823,97035,105647,119887,116996,118532,126109,133951,149282
Quindío,103586,102137,106548,115621,132200,132499,132741,138778,147281,167061
Risaralda,100587,100006,104262,112485,127999,129181,129157,134819,143524,161602
Santander,111305,111499,116489,126276,141441,141470,143264,150318,156913,176605
Sucre,91587,90974,94949,103798,117099,115070,115963,121844,128639,140755
Tolima,96354,95788,99984,108363,122586,121051,120985,126578,134188,149858
Valle del Cauca,97613,97395,102292,111437,125646,125996,127365,135169,143320,159920
