Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,"13,9","12,4","13,2","12,2","11,4","10,3","10,6","11,2","14,3","11,1"
Atlántico,"12,4","11,5","10,2","8,8","8,5","8,0","8,0","8,3","15,4","11,8"
Bogotá D.C.,"9,2","8,2","8,1","8,7","9,2","9,9","9,7","9,9","19,1","14,9"
Bolívar,"20,9","19,4","18,3","16,7","18,1","15,9","15,3","16,9","20,5","18,4"
Boyacá,"16,6","19,3","18,9","17,5","15,7","13,2","10,9","12,0","16,2","14,9"
Caldas,"16,6","14,7","13,7","12,9","12,6","11,8","10,1","9,6","12,1","9,5"
Caquetá,"19,7","19,0","18,0","18,6","16,2","15,2","17,3","18,2","17,3","15,2"
Cauca,"35,7","32,4","29,8","28,0","26,2","25,0","26,5","28,1","24,0","25,9"
Cesar,"22,4","19,8","18,7","18,7","18,9","18,8","19,5","22,9","26,7","24,1"
Chocó,"43,1","38,8","41,9","39,7","36,9","35,4","37,3","37,6","33,5","31,2"
Córdoba,"30,9","24,4","20,5","20,7","19,1","19,2","18,4","20,0","22,8","24,1"
Cundinamarca,"9,3","7,9","6,8","6,6","7,2","5,6","6,6","7,3","11,1","9,1"
Huila,"22,8","24,1","21,4","23,3","24,2","16,9","16,1","21,5","23,6","16,9"
La Guajira,"30,5","29,2","27,4","26,8","26,8","27,2","27,7","33,1","33,7","35,9"
Magdalena,"25,0","23,6","22,0","20,6","24,4","22,7","21,4","23,0","26,2","25,4"
Meta,"15,3","13,5","11,9","10,7","12,5","12,7","12,5","12,8","16,9","12,5"
Nariño,"25,3","23,0","20,1","18,6","22,1","18,8","19,3","19,8","19,6","17,4"
Norte de Santander,"17,3","17,2","17,5","17,9","18,4","17,3","17,6","21,6","25,0","21,0"
Quindío,"20,3","17,4","15,6","16,4","14,7","12,8","11,3","12,2","14,1","13,4"
Risaralda,"14,2","15,5","12,5","11,0","9,7","7,9","8,9","9,2","14,1","9,8"
Santander,"10,2","9,4","9,6","9,4","9,2","9,3","9,9","10,3","16,9","13,4"
Sucre,"21,2","18,7","17,2","17,7","19,1","16,6","15,7","17,8","17,9","19,5"
Tolima,"20,9","17,0","15,4","15,2","14,5","13,5","14,8","15,1","19,5","17,0"
Valle del Cauca,"12,4","12,3","10,2","9,8","10,0","9,5","9,1","9,4","16,7","11,6"
