Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,"3,5","2,9","3,8","3,0","3,0","2,4","2,5","2,7","4,8","2,7"
Atlántico,"1,6","1,5","1,3","0,9","1,0","0,8","0,8","0,9","4,2","1,9"
Bogotá D.C.,"1,3","1,1","1,3","1,5","1,6","1,7","1,7","1,8","7,7","4,0"
Bolívar,"4,9","4,4","3,7","2,9","3,9","2,8","2,6","3,0","5,7","4,1"
Boyacá,"3,8","5,4","5,6","5,1","4,7","3,3","1,7","2,2","6,3","4,8"
Caldas,"3,8","3,5","2,7","3,0","3,3","2,5","2,3","2,1","3,7","2,3"
Caquetá,"3,5","3,2","3,0","2,9","2,9","2,0","2,9","3,6","4,9","3,1"
Cauca,"14,1","11,6","10,1","9,5","8,2","7,6","8,5","9,4","8,9","9,5"
Cesar,"6,8","4,6","4,8","4,3","5,0","5,1","5,1","7,4","9,8","8,0"
Chocó,"21,5","18,0","21,2","19,6","18,8","16,3","17,6","17,1","16,4","13,1"
Córdoba,"10,4","5,6","4,1","4,2","3,2","3,4","3,1","4,8","5,9","6,9"
Cundinamarca,"2,3","2,3","1,5","1,6","2,3","1,3","1,9","2,2","4,6","3,3"
Huila,"6,2","6,3","4,9","7,2","8,6","3,5","3,0","5,6","7,7","4,7"
La Guajira,"11,8","11,2","10,3","10,1","11,0","11,0","11,0","15,3","16,3","17,8"
Magdalena,"7,0","6,2","5,0","5,0","7,4","6,2","5,3","6,6","9,1","7,3"
Meta,"4,6","3,7","3,6","2,6","4,0","3,8","3,6","3,9","7,1","3,5"
Nariño,"6,1","5,0","3,5","3,3","5,6","4,4","4,1","3,8","5,2","3,9"
Norte de Santander,"3,8","3,7","3,9","4,5","5,1","3,8","3,6","5,8","8,8","5,6"
Quindío,"5,4","3,8","3,0","4,1","3,4","2,6","2,1","2,5","5,0","3,2"
Risaralda,"2,7","3,7","2,5","1,6","1,5","0,9","1,3","1,5","5,1","1,9"
Santander,"1,8","1,5","2,0","2,0","1,8","1,5","1,7","1,7","6,4","3,4"
Sucre,"3,7","2,7","2,7","2,6","3,6","2,5","1,9","2,7","3,1","3,3"
Tolima,"5,5","3,8","3,7","3,3","3,4","2,9","3,6","3,3","6,6","4,9"
Valle del Cauca,"3,1","3,1","2,4","2,4","2,8","2,6","2,4","2,8","7,6","3,7"
