;Depto;Anio;PPM;PPME;Gini;IPM;IPME;PIPUGP;LPM;LPME;BPM;BPME;Código
0;Antioquia;2012;2194;570;0.529;35.3;9.2;555892;253145;99146;13.9;3.5;5
1;Atlantico;2012;901;137;0.464;38;5.8;443033;235887;104943;12.4;1.6;8
2;Bogota D.C.;2012;2038;279;0.497;27;3.7;857932;338794;128834;9.2;1.3;11
3;Bolivar;2012;1029;301;0.507;50.8;14.9;359699;230057;99908;20.9;4.9;13
4;Boyaca;2012;542;155;0.532;42.7;12.2;408661;211756;95173;16.6;3.8;15
5;Caldas;2012;422;109;0.522;43;11.1;432061;229224;93727;16.6;3.8;17
6;Caqueta;2012;236;54;0.479;51.4;11.7;311310;213785;91373;19.7;3.5;18
7;Cauca;2012;920;493;0.565;68.5;36.7;234521;202991;92248;35.7;14.1;19
8;Cesar;2012;513;166;0.518;51.7;16.7;347464;220713;95623;22.4;6.8;20
9;Choco;2012;359;210;0.616;73.9;43.4;227493;210645;94504;43.1;21.5;27
10;Cordoba;2012;1083;478;0.542;66.4;29.3;249811;198672;91526;30.9;10.4;25
11;Cundinamarca;2012;690;170;0.463;26.8;6.6;482691;204713;92842;9.3;2.3;23
12;Huila;2012;596;198;0.559;53.6;17.8;371721;226287;95352;22.8;6.2;41
13;La Guajira;2012;542;250;0.556;61.9;28.6;268561;194059;89993;30.5;11.8;44
14;Magdalena;2012;714;243;0.51;58.3;19.8;303722;218833;100683;25;7;47
15;Meta;2012;338;99;0.505;37.3;10.9;479391;242736;106663;15.3;4.6;50
16;Nariño;2012;1009;325;0.502;60.1;19.3;266031;207379;92440;25.3;6.1;52
17;Norte de Santander;2012;584;157;0.485;44.2;11.9;383637;225486;96256;17.3;3.8;54
18;Quindio;2012;262;78;0.525;47.1;14.1;437803;251052;103586;20.3;5.4;63
19;Risaralda;2012;359;71;0.487;38.4;7.6;471391;255635;100587;14.2;2.7;66
20;Santander;2012;621;114;0.487;30.6;5.6;578058;263981;111305;10.2;1.8;68
21;Sucre;2012;472;111;0.483;57.1;13.4;292304;204932;91587;21.2;3.7;70
22;Tolima;2012;681;233;0.523;48.8;16.7;376353;228845;96354;20.9;5.5;73
23;Valle del Cauca;2012;1425;376;0.518;31.8;8.4;543277;235150;97613;12.4;3.1;76
24;Antioquia;2013;2005;477;0.532;31.8;7.6;614483;257863;98583;12.4;2.9;5
25;Atlantico;2013;866;128;0.453;36;5.3;456165;238709;104075;11.5;1.5;8
26;Bogota D.C.;2013;1865;232;0.504;24.3;3;954981;346502;130332;8.2;1.1;11
27;Bolivar;2013;994;287;0.501;48.5;14;382983;233613;98765;19.4;4.4;13
28;Boyaca;2013;581;188;0.533;45.7;14.7;391566;215875;94661;19.3;5.4;15
29;Caldas;2013;388;89;0.524;39.4;9;466351;233144;92776;14.7;3.5;17
30;Caqueta;2013;236;48;0.467;50.6;10.3;314760;216979;90599;19;3.2;18
31;Cauca;2013;881;407;0.548;65;30.1;249505;206109;91377;32.4;11.6;19
32;Cesar;2013;506;133;0.489;50.4;13.2;347246;223889;94540;19.8;4.6;20
33;Choco;2013;338;187;0.603;69;38.1;253539;214209;93863;38.8;18;27
34;Cordoba;2013;959;330;0.527;57.8;19.9;294619;201948;90774;24.4;5.6;25
35;Cundinamarca;2013;567;141;0.466;21.7;5.4;552303;208332;92212;7.9;2.3;23
36;Huila;2013;611;211;0.546;54.3;18.8;359013;229907;94632;24.1;6.3;41
37;La Guajira;2013;537;240;0.562;59.5;26.6;289467;197935;90024;29.2;11.2;44
38;Magdalena;2013;693;212;0.496;56.1;17.2;308861;222400;99971;23.6;6.2;47
39;Meta;2013;324;82;0.47;35;8.9;483487;248394;106531;13.5;3.7;50
40;Nariño;2013;971;273;0.52;57.1;16;305569;210410;91577;23;5;52
